cohort,event_category,count,percentage
7-month-olds,Toy_Only,0,0.0
7-month-olds,Man_Only,0,0.0
7-month-olds,Woman_Only,0,0.0
7-month-olds,Other,0,0.0
7-month-olds,Man_Toy,0,0.0
7-month-olds,Woman_Toy,4,50.0
7-month-olds,Woman_Man,0,0.0
7-month-olds,Full_Trifecta,4,50.0
8-month-olds,Toy_Only,0,0.0
8-month-olds,Man_Only,0,0.0
8-month-olds,Woman_Only,1,5.555555555555555
8-month-olds,Other,0,0.0
8-month-olds,Man_Toy,0,0.0
8-month-olds,Woman_Toy,5,27.77777777777778
8-month-olds,Woman_Man,1,5.555555555555555
8-month-olds,Full_Trifecta,11,61.111111111111114
9-month-olds,Toy_Only,0,0.0
9-month-olds,Man_Only,0,0.0
9-month-olds,Woman_Only,0,0.0
9-month-olds,Other,0,0.0
9-month-olds,Man_Toy,2,18.181818181818183
9-month-olds,Woman_Toy,4,36.36363636363637
9-month-olds,Woman_Man,0,0.0
9-month-olds,Full_Trifecta,5,45.45454545454545
10-month-olds,Toy_Only,0,0.0
10-month-olds,Man_Only,2,8.333333333333332
10-month-olds,Woman_Only,0,0.0
10-month-olds,Other,0,0.0
10-month-olds,Man_Toy,1,4.166666666666666
10-month-olds,Woman_Toy,9,37.5
10-month-olds,Woman_Man,2,8.333333333333332
10-month-olds,Full_Trifecta,10,41.66666666666667
11-month-olds,Toy_Only,0,0.0
11-month-olds,Man_Only,2,9.090909090909092
11-month-olds,Woman_Only,0,0.0
11-month-olds,Other,0,0.0
11-month-olds,Man_Toy,1,4.545454545454546
11-month-olds,Woman_Toy,3,13.636363636363635
11-month-olds,Woman_Man,2,9.090909090909092
11-month-olds,Full_Trifecta,14,63.63636363636363
Adults,Toy_Only,0,0.0
Adults,Man_Only,1,2.1739130434782608
Adults,Woman_Only,3,6.521739130434782
Adults,Other,0,0.0
Adults,Man_Toy,1,2.1739130434782608
Adults,Woman_Toy,2,4.3478260869565215
Adults,Woman_Man,8,17.391304347826086
Adults,Full_Trifecta,31,67.3913043478261
